Feature,Correlation,Total Hits
affair,0.0022834028056380106,37.0
affairs,2.7023991761743036E-4,30.0
affect,0.004856820211314457,20.0
affected,-0.0021222542241039967,13.0
affection,0.004474276115039483,18.0
affects,0.0010442024310762714,6.0
affirmative,-0.003572579275316084,6.0
afford,0.0010954914591218966,85.0
afghanistan,-0.0032612937835676276,5.0
afraid,0.006817786510648638,504.0
africa,-0.003931624885655285,35.0
african,0.0016510744791376991,15.0
african-american,0.0017961217088719001,5.0
africans,-7.325860373347501E-4,5.0
after,0.0025269197047319883,1544.0
afternoon,0.0031148810735129903,166.0
afterwards,0.001572417549898494,35.0
again,0.004147083820375967,1709.0
against,-0.010235419523855996,631.0
age,-9.387495884405088E-4,147.0
aged,-0.0010360489603740833,10.0
agency,-0.005074299328952326,31.0
agent,-0.006341637447777485,201.0
agents,-0.005787247989788941,62.0
ages,0.0025590587846445315,28.0
aggravated,-0.0032612937835676276,5.0
aggression,-0.0028814508067470305,10.0
aggressive,-0.0013203360639288714,23.0
aggressively,-7.325860373347501E-4,5.0
agh,0.006853537201305671,5.0
aging,-9.457741538073045E-4,9.0
agitated,0.005048514393507729,9.0
agnes,0.004324829455084881,5.0
ago,-0.0020548200129738674,574.0
agol,-0.004576618050272584,12.0
agony,-0.001748216808636927,21.0
agree,-0.003908245698943202,112.0
agreed,-0.0038166485590712547,62.0
agreeing,-0.0032612937835676276,5.0
agreement,-0.0019384184136355211,35.0
agrees,-0.0011686832131443592,19.0
agua,-0.002824142711858671,10.0
aguila,-0.004375538310660384,9.0
ah,-0.0135355081201147,396.0
ah-ha,-0.005258806945042247,13.0
aha,-6.059172289635534E-4,9.0
ahab,-0.0032612937835676276,5.0
ahead,-0.005568734598654837,380.0
ahh,-0.006234790107705042,38.0
ahhh,-0.001705812365760832,24.0
ahhhh,-0.0024907277698375287,9.0
aid,0.003367498697020401,30.0
aide,-0.002849536870221988,20.0
aides,-7.325860373347501E-4,5.0
aiding,-0.0032612937835676276,5.0
aids,0.0038712649612988375,8.0
aight,0.003829001280554238,15.0
aim,-0.0071181286671818675,44.0
aimed,-0.0024348714975328326,14.0
aiming,-0.002824142711858671,10.0
aims,-0.002824142711858671,10.0
ain,-7.325860373347501E-4,5.0
aint,-0.019197029146210697,1083.0
air,-0.006834079110957487,373.0
airborne,-0.003858838458765724,7.0
aircraft,2.772879301883688E-4,11.0
aires,-0.0024907277698375287,9.0
airfield,-0.0032612937835676276,5.0
airline,-0.0024348714975328326,14.0
airlines,4.1548392002559566E-4,7.0
airplane,-0.0036545489295709333,29.0
airplanes,0.0010442024310762714,6.0
airport,0.0010324878447479865,79.0
airports,0.0010442024310762714,6.0
airs,4.1548392002559566E-4,7.0
airspace,-0.0012641884221326336,6.0
airstream,-0.001094814263802441,5.0
aisle,0.0012544031661864618,22.0
aisles,0.0010442024310762714,6.0
ajar,0.006853537201305671,5.0
ak,0.0017961217088719001,5.0
aka,-0.003858838458765724,7.0
akron,-0.0021261471032678323,8.0
al,-0.005455459393322022,79.0
al-ghazi,-0.006522886957469949,20.0
al-rahmah,-0.0032612937835676276,5.0
al.,-0.0028393539326537856,28.0
alabama,-0.002849536870221988,20.0
alamo,-7.325860373347501E-4,5.0
alan,0.006892874287885582,47.0
alarm,-0.003164459847364804,58.0
alarmed,-5.53977863632669E-4,13.0
alarms,0.0014767523519009025,12.0
alas,-0.0036905305845837373,13.0
alaska,0.005587837854490437,18.0
albany,-5.53977863632669E-4,13.0
albatross,4.1548392002559566E-4,7.0
albert,-0.005108203678956186,36.0
album,0.0016510744791376991,15.0
alcatraz,-0.005052482823517552,12.0
alcohol,-0.003001440105255246,26.0
alcoholic,-1.555564420464685E-4,12.0
alcove,0.003352593284258052,6.0
alert,-0.005425985857576298,33.0
alex,0.004677848976436338,40.0
alex.,0.0024375668763547734,23.0
alexander,-0.0022412522074021354,17.0
alfred,-0.0032612937835676276,5.0
algeria,-0.002578064633764335,9.0
ali,-0.005304319536505471,22.0
alias,-0.0036806339152341016,8.0
alibi,0.0051212961976501385,14.0
alice,0.004745977920420191,29.0
alicia,-0.003572579275316084,6.0
alien,-9.556386222253699E-4,34.0
aliens,1.2229574855689311E-4,18.0
alignment,-0.0021261471032678323,8.0
alike,-0.0022787571550792435,23.0
alimony,-0.0024907277698375287,9.0
alison,-0.003572579275316084,6.0
alive,-0.005539934728214732,408.0
all,-0.005939961960442919,8365.0
allah,-0.008629364470539217,35.0
allegations,-0.0030939302090597083,5.0
alleged,-0.0036897485257064095,7.0
allegiance,-0.0021222542241039967,13.0
allen,0.0025526451094417643,7.0
allergic,-0.0025633505998207285,14.0
alley,-6.7328547658308E-4,63.0
alleys,-7.325860373347501E-4,5.0
alliance,-0.0024348714975328326,14.0
allies,9.442555040986737E-4,12.0
alligator,-7.325860373347501E-4,5.0
allison,0.0031637038526642013,9.0
allow,-0.002979481139527375,104.0
allowed,-0.0023087751722797424,97.0
allowing,-0.002982160257526068,21.0
allows,0.0010635844883739567,20.0
alls,0.0010142984968119352,13.0
ally,0.012715281190247911,28.0
alma,0.007969374990627224,6.0
almighty,-0.006649523615828926,28.0
almond,-0.0022412522074021354,17.0
almost,0.005420036171654528,518.0
aloha,-7.325860373347501E-4,5.0
aloka,0.005825307306143938,38.0
alone,0.00591339375460046,651.0
along,0.0018661490719766314,417.0
alongside,4.7587905724443956E-4,18.0
alot,-0.003420174029650154,12.0
aloud,-0.0012641884221326336,6.0
alpha,-0.0028349167796128953,15.0
alphabet,0.0019821736450749607,11.0
already,-0.00467480596005117,700.0
alright,0.001965611919042163,478.0
also,-0.0034614813323922966,343.0
altar,5.496423927310204E-4,13.0
alter,-0.0024348714975328326,14.0
altered,0.0012788933118264667,9.0
alternative,-0.003270880061870562,17.0
although,-0.004245015074508479,52.0
altitude,-0.0042103551136733605,9.0
alto,-6.059172289635534E-4,9.0
altogether,0.0010142984968119352,13.0
aluminum,-0.0023353237557540204,31.0
alvin,-0.0017216772693486693,7.0
alvy,0.020444474392666348,67.0
always,0.007761931067095519,1261.0
am,-0.006003616232393067,1696.0
amanda,-0.0021222542241039967,13.0
amarillo,0.006853537201305671,5.0
amateur,0.0010635844883739567,20.0
amateurs,4.1548392002559566E-4,7.0
amazed,8.976037611730807E-4,23.0
amazing,0.005690782043040744,90.0
ambassador,-0.0011014367045315292,42.0
ambition,0.0017158532316218526,17.0
ambitions,0.003352593284258052,6.0
ambitious,0.002404233597288466,12.0
ambulance,-9.759867004676349E-5,45.0
ambush,0.0025401385425544362,10.0
ambushed,-0.0017216772693486693,7.0
amen,-0.003984705752866422,30.0
